time	V(n004)
1.362240000000021e-009	1.347631e-004
1.363240000000021e-009	1.327153e-004
1.364240000000021e-009	1.306732e-004
1.365240000000021e-009	1.286370e-004
1.367240000000022e-009	1.245824e-004
1.368240000000022e-009	1.225642e-004
1.369240000000022e-009	1.205523e-004
1.370240000000022e-009	1.185467e-004
1.371240000000022e-009	1.165476e-004
1.372240000000022e-009	1.145549e-004
1.374240000000022e-009	1.105895e-004
1.375240000000022e-009	1.086169e-004
1.377240000000023e-009	1.046924e-004
1.380240000000023e-009	9.885864e-005
1.382240000000023e-009	9.500579e-005
1.384240000000023e-009	9.118274e-005
1.386240000000024e-009	8.739014e-005
1.388240000000024e-009	8.362858e-005
1.390240000000024e-009	7.989864e-005
1.391240000000024e-009	7.804573e-005
1.392240000000024e-009	7.620093e-005
1.393240000000024e-009	7.436433e-005
1.394240000000024e-009	7.253599e-005
1.395240000000024e-009	7.071597e-005
1.396240000000025e-009	6.890435e-005
1.398240000000025e-009	6.530654e-005
1.399240000000025e-009	6.352049e-005
1.400240000000025e-009	6.174308e-005
1.403240000000025e-009	5.646333e-005
1.406240000000026e-009	5.126352e-005
1.407240000000026e-009	4.954827e-005
1.410240000000026e-009	4.445736e-005
1.411240000000026e-009	4.277883e-005
1.412240000000026e-009	4.110961e-005
1.413240000000026e-009	3.944974e-005
1.414240000000026e-009	3.779927e-005
1.415240000000026e-009	3.615825e-005
1.416240000000027e-009	3.452672e-005
1.418240000000027e-009	3.129231e-005
1.420240000000027e-009	2.809639e-005
1.422240000000027e-009	2.493927e-005
1.423240000000027e-009	2.337537e-005
1.424240000000027e-009	2.182128e-005
1.425240000000027e-009	2.027705e-005
1.426240000000028e-009	1.874270e-005
1.427240000000028e-009	1.721828e-005
1.428240000000028e-009	1.570382e-005
1.429240000000028e-009	1.419935e-005
1.430240000000028e-009	1.270490e-005
1.431240000000028e-009	1.122050e-005
1.432240000000028e-009	9.746187e-006
1.434240000000028e-009	6.827918e-006
1.437240000000029e-009	2.526824e-006
1.440240000000029e-009	-1.682100e-006
1.441382857142886e-009	-3.261194e-006
1.442525714285743e-009	-4.826722e-006
1.443668571428601e-009	-6.378685e-006
1.444811428571458e-009	-7.917082e-006
1.445954285714315e-009	-9.441915e-006
1.447097142857172e-009	-1.095318e-005
1.448240000000030e-009	-1.245088e-005
1.449240000000030e-009	-1.375012e-005
1.450240000000030e-009	-1.503889e-005
1.451240000000030e-009	-1.631718e-005
1.452240000000030e-009	-1.758498e-005
1.453240000000030e-009	-1.884228e-005
1.454240000000030e-009	-2.008907e-005
1.455240000000030e-009	-2.132533e-005
1.458240000000031e-009	-2.497090e-005
1.461240000000031e-009	-2.852150e-005
1.462240000000031e-009	-2.968390e-005
1.464240000000031e-009	-3.197698e-005
1.465097142857174e-009	-3.294678e-005
1.465954285714317e-009	-3.390881e-005
1.466811428571460e-009	-3.486306e-005
1.467668571428603e-009	-3.580955e-005
1.468525714285746e-009	-3.674826e-005
1.469382857142889e-009	-3.767920e-005
1.470240000000032e-009	-3.860237e-005
1.472240000000032e-009	-4.072624e-005
1.473240000000032e-009	-4.177232e-005
1.475240000000032e-009	-4.383280e-005
1.478240000000033e-009	-4.684441e-005
1.479240000000033e-009	-4.782722e-005
1.480240000000033e-009	-4.879951e-005
1.481240000000033e-009	-4.976129e-005
1.482240000000033e-009	-5.071256e-005
1.483240000000033e-009	-5.165335e-005
1.484240000000033e-009	-5.258367e-005
1.485240000000033e-009	-5.350351e-005
1.486240000000034e-009	-5.441290e-005
1.487240000000034e-009	-5.531186e-005
1.488240000000034e-009	-5.620038e-005
1.490240000000034e-009	-5.794623e-005
1.493240000000034e-009	-6.048718e-005
1.494240000000034e-009	-6.131349e-005
1.495240000000034e-009	-6.212948e-005
1.496240000000035e-009	-6.293519e-005
1.498240000000035e-009	-6.451579e-005
1.499240000000035e-009	-6.529073e-005
1.500240000000035e-009	-6.605547e-005
1.501240000000035e-009	-6.681002e-005
1.502240000000035e-009	-6.755440e-005
1.503240000000035e-009	-6.828863e-005
1.505240000000035e-009	-6.972676e-005
1.507240000000036e-009	-7.112460e-005
1.509240000000036e-009	-7.248235e-005
1.510240000000036e-009	-7.314626e-005
1.512240000000036e-009	-7.444427e-005
1.513240000000036e-009	-7.507844e-005
1.514240000000036e-009	-7.570274e-005
1.515240000000036e-009	-7.631721e-005
1.516240000000037e-009	-7.692188e-005
1.517240000000037e-009	-7.751677e-005
1.518240000000037e-009	-7.810193e-005
1.521240000000037e-009	-7.979927e-005
1.524240000000037e-009	-8.141006e-005
1.526240000000038e-009	-8.243629e-005
1.528240000000038e-009	-8.342472e-005
1.531240000000038e-009	-8.483711e-005
1.532382857142895e-009	-8.535303e-005
1.533525714285753e-009	-8.585702e-005
1.534668571428610e-009	-8.634910e-005
1.535811428571467e-009	-8.682927e-005
1.536954285714324e-009	-8.729752e-005
1.538097142857182e-009	-8.775386e-005
1.539240000000039e-009	-8.819828e-005
1.541240000000039e-009	-8.894810e-005
1.542240000000039e-009	-8.930967e-005
1.543240000000039e-009	-8.966238e-005
1.544240000000039e-009	-9.000628e-005
1.546240000000040e-009	-9.066782e-005
1.547240000000040e-009	-9.098554e-005
1.550240000000040e-009	-9.188700e-005
1.551382857142897e-009	-9.221002e-005
1.552525714285754e-009	-9.252215e-005
1.553668571428612e-009	-9.282338e-005
1.554811428571469e-009	-9.311370e-005
1.555954285714326e-009	-9.339313e-005
1.557097142857183e-009	-9.366166e-005
1.558240000000041e-009	-9.391928e-005
1.559097142857184e-009	-9.410555e-005
1.559954285714327e-009	-9.428592e-005
1.560811428571470e-009	-9.446038e-005
1.561668571428613e-009	-9.462895e-005
1.562525714285755e-009	-9.479161e-005
1.563382857142899e-009	-9.494837e-005
1.564240000000041e-009	-9.509923e-005
1.566240000000042e-009	-9.542890e-005
1.568240000000042e-009	-9.572735e-005
1.571240000000042e-009	-9.611734e-005
1.572240000000042e-009	-9.623214e-005
1.573240000000042e-009	-9.633941e-005
1.574240000000042e-009	-9.643922e-005
1.575240000000042e-009	-9.653160e-005
1.576240000000043e-009	-9.661661e-005
1.577240000000043e-009	-9.669429e-005
1.578240000000043e-009	-9.676469e-005
1.583240000000043e-009	-9.700919e-005
1.584240000000043e-009	-9.703694e-005
1.585240000000043e-009	-9.705775e-005
1.587240000000044e-009	-9.707877e-005
1.588240000000044e-009	-9.707894e-005
1.589240000000044e-009	-9.707250e-005
1.590240000000044e-009	-9.705945e-005
1.591240000000044e-009	-9.703979e-005
1.592240000000044e-009	-9.701351e-005
1.593240000000044e-009	-9.698062e-005
1.594240000000044e-009	-9.694112e-005
1.595382857142902e-009	-9.688805e-005
1.596525714285759e-009	-9.682684e-005
1.597668571428616e-009	-9.675749e-005
1.598811428571473e-009	-9.668000e-005
1.599954285714331e-009	-9.659436e-005
1.601097142857188e-009	-9.650058e-005
1.602240000000045e-009	-9.639865e-005
1.604240000000045e-009	-9.620171e-005
1.606240000000046e-009	-9.598105e-005
1.608240000000046e-009	-9.573708e-005
1.610240000000046e-009	-9.547022e-005
1.612240000000046e-009	-9.518087e-005
1.614240000000046e-009	-9.486944e-005
1.617240000000047e-009	-9.436179e-005
1.618668571428618e-009	-9.410295e-005
1.620097142857190e-009	-9.383388e-005
1.621525714285761e-009	-9.355460e-005
1.622954285714333e-009	-9.326509e-005
1.624382857142905e-009	-9.296537e-005
1.625811428571476e-009	-9.265543e-005
1.627240000000048e-009	-9.233526e-005
1.632240000000048e-009	-9.114058e-005
1.634240000000048e-009	-9.063087e-005
1.635240000000048e-009	-9.036939e-005
1.636240000000049e-009	-9.010357e-005
1.639240000000049e-009	-8.928052e-005
1.641240000000049e-009	-8.871101e-005
1.642382857142906e-009	-8.837810e-005
1.643525714285764e-009	-8.804017e-005
1.644668571428621e-009	-8.769721e-005
1.645811428571478e-009	-8.734924e-005
1.646954285714335e-009	-8.699624e-005
1.648097142857193e-009	-8.663822e-005
1.649240000000050e-009	-8.627518e-005
1.651240000000050e-009	-8.562875e-005
1.653240000000050e-009	-8.496813e-005
1.655240000000050e-009	-8.429371e-005
1.657240000000051e-009	-8.360587e-005
1.657954285714336e-009	-8.335699e-005
1.658668571428622e-009	-8.310651e-005
1.659382857142908e-009	-8.285443e-005
1.660097142857194e-009	-8.260075e-005
